Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2016-04-07,58.77887725830078,65.21100616455078,81.97891235351562,130.90188598632812,174.7002716064453,171.41616821289062,50.461299896240234,114.95183563232422,101.22895050048828,82.09215545654297,41.14533615112305,47.92897033691406,93.48767852783205,106.5797119140625,72.71141815185547,139.0999298095703,81.00318908691406,40.62186813354492,39.04792404174805,62.78047180175781,65.42539978027344,7.124740123748779,166.97427368164062,92.1355972290039,
2016-04-08,58.92155075073242,65.32228088378906,82.30927276611328,131.5856475830078,174.56143188476562,171.4332275390625,50.67635345458984,115.74835968017578,100.90802764892578,82.61243438720703,41.90024185180664,48.27547454833984,94.24226379394533,107.81271362304688,72.93516540527344,140.94558715820312,81.92046356201172,41.05646514892578,39.80830001831055,63.722198486328125,66.56073760986328,7.176830768585205,168.28884887695312,92.5589828491211,
2016-04-11,59.14344787597656,64.84291076660156,82.17710876464844,131.24374389648438,173.2886505126953,170.52723693847656,51.08647918701172,115.77552032470705,100.88375854492188,82.51637268066406,41.85353088378906,48.84758377075195,94.73954010009766,106.993408203125,72.62052154541016,140.6265411376953,81.90503692626953,41.28706741333008,39.692012786865234,63.33584976196289,64.755615234375,7.098694801330566,167.08779907226562,92.9657745361328,
2016-04-12,60.30840301513672,65.57052612304688,82.97730255126953,131.67111206054688,174.31463623046875,171.11697387695312,51.556644439697266,117.18753051757812,101.7558135986328,83.54891967773438,42.437225341796875,49.588924407958984,95.63129425048828,108.33186340332033,73.57843780517578,142.4031524658203,83.09207916259766,41.358028411865234,39.9424934387207,64.10050201416016,64.29822540283203,7.231813430786133,167.8538360595703,93.80428314208984,
2016-04-13,62.70964431762695,67.16270446777344,84.232666015625,132.3976287841797,174.6231689453125,171.9119110107422,52.3218879699707,118.6990737915039,102.0949478149414,84.02119445800781,43.16875076293945,50.79762268066406,96.21436309814452,108.95648193359376,73.79521179199219,144.2229766845703,87.63977813720703,42.60860824584961,41.00702667236328,65.7746353149414,66.27486419677734,7.532780170440674,168.48741149902344,95.9295883178711,
2016-04-14,62.6462287902832,66.47792053222656,84.07115173339844,132.56857299804688,173.89805603027344,171.0571746826172,52.356903076171875,118.43659973144533,101.83453369140624,83.98917388916016,42.85746383666992,50.42695617675781,96.26580047607422,108.34806823730467,73.47357177734375,142.91200256347656,88.31036376953125,43.00773620605469,41.78530502319336,66.25756072998047,67.09164428710938,7.564610004425049,167.29583740234375,96.6435546875,
2016-04-15,62.7413330078125,66.28955841064453,84.15190124511719,132.61131286621094,174.1834716796875,172.55296325683594,52.30187225341797,118.69003295898438,102.21001434326172,83.94914245605469,43.05201721191406,50.62840270996094,97.50911712646484,109.35392761230467,73.79521179199219,143.08450317382812,88.88848114013672,42.129669189453125,42.08051300048828,65.36412811279297,66.67508697509766,7.50383996963501,167.53225708007812,97.01714324951172,
2016-04-18,62.804710388183594,67.04285430908203,84.76123809814453,132.73953247070312,175.20938110351562,173.3307342529297,52.58195877075195,119.45034790039062,102.67632293701172,84.28533935546875,42.97420883178711,50.50752639770508,97.21756744384766,110.55445861816406,74.24269104003906,144.14537048339844,89.92134094238281,41.28706741333008,42.13418960571289,65.09852600097656,66.60157775878906,7.544353008270264,169.1210479736328,97.18319702148438,
2016-04-19,63.708194732666016,70.50114440917969,85.01081085205078,133.12417602539062,174.7234649658203,172.30506896972656,52.51695251464844,120.0929946899414,102.73683166503906,84.58148956298828,43.30884552001953,50.58006286621094,97.7920913696289,110.87891387939452,74.70415496826172,145.12860107421875,90.76148986816406,41.570899963378906,42.16102981567383,66.19316864013672,67.60623931884766,7.642743110656738,169.9911346435547,96.46090698242188,
2016-04-20,63.19305419921875,72.12759399414062,84.55567932128906,133.12417602539062,174.7774200439453,172.29652404785156,52.78202438354492,118.18316650390624,102.306884765625,83.52490997314453,42.85746383666992,50.08852005004883,97.3118667602539,110.89517211914062,74.2356948852539,144.37823486328125,89.88280487060547,41.33142852783203,42.089454650878906,67.489013671875,67.92478942871094,7.6745805740356445,168.85621643066406,95.98771667480467,
2016-04-21,62.94498825073242,70.8778076171875,84.36479187011719,132.3976287841797,174.384033203125,170.94607543945312,52.73201751708984,118.3370590209961,102.13733673095705,83.70101165771484,42.93528366088867,50.0804557800293,96.76314544677734,111.71443939208984,73.41062927246094,142.79989624023438,88.74974822998047,39.885704040527344,42.69776916503906,70.28194427490234,67.49189758300781,7.755606174468994,169.01705932617188,95.46466827392578,
